t,λ1,δ1,λ2,δ2,λ3,δ3,λ4,δ4,λ5,δ5,λ6,δ6,λ7,δ7,λ8,δ8,λ9,δ9,λ10,δ10
252.0,29.581513484408344,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.653419114211548,33.0,29.61281603211934,33.0,29.600835184337573,33.0,29.67041467726905,33.0,29.678025141245236,33.0
253.0,29.581513484408344,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.656630924968006,33.0,29.61281603211934,33.0,29.600835184337573,33.0,29.67041467726905,33.0,29.678025141245236,33.0
254.0,29.581513484408344,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.656630924968006,33.0,29.615353072253885,33.0,29.600835184337573,33.0,29.67041467726905,33.0,29.678025141245236,33.0
255.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.656630924968006,33.0,29.615803657424433,33.0,29.600835184337573,33.0,29.67041467726905,33.0,29.678025141245236,33.0
256.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.56735268856124,33.0,29.570143198166207,33.0,29.656630924968006,33.0,29.615803657424433,33.0,29.600835184337573,33.0,29.67299773737298,33.0,29.678025141245236,33.0
257.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.573351424202894,33.0,29.570143198166207,33.0,29.656630924968006,33.0,29.615882956019956,33.0,29.600835184337573,33.0,29.67299773737298,33.0,29.678025141245303,33.0
258.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.656743220264296,33.0,29.61634256768912,33.0,29.600835184337573,33.0,29.673320668761292,33.0,29.678025141245303,33.0
259.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.65973011891074,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.673320668761292,33.0,29.678025141245303,33.0
260.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.66080261776452,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.673320668761292,33.0,29.678025141245364,33.0
261.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.660819449228963,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
262.0,29.587554009879984,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.664121564572703,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
263.0,29.593487601411777,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.664121564572703,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
264.0,29.59725220141342,33.0,29.607250049198615,33.0,29.53875868198985,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.664121564572703,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
265.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540536019609025,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.664121564572703,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
266.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540536019609025,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.666559296431544,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
267.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540536019609025,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.66719952641331,33.0,29.622113853770482,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
268.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540536019609025,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.66719952641331,33.0,29.622638230835065,33.0,29.600835184337665,33.0,29.67342792723034,33.0,29.678025141245364,33.0
269.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.66719952641331,33.0,29.622638230835065,33.0,29.600835184337665,33.0,29.673708407119342,33.0,29.678025141245364,33.0
270.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.586963459206714,33.0,29.570143198166207,33.0,29.66719952641331,33.0,29.62412947295588,33.0,29.600835184337665,33.0,29.673708407119342,33.0,29.678025141245364,33.0
271.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049717,33.0,29.62412947295588,33.0,29.600835184337665,33.0,29.673708407119342,33.0,29.678025141245364,33.0
272.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.62412947295588,33.0,29.600835184337665,33.0,29.673708407119342,33.0,29.678328999251534,33.0
273.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.62510914036843,33.0,29.600835184337665,33.0,29.673708407119342,33.0,29.678328999251534,33.0
274.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.62510914036843,33.0,29.601427155564902,33.0,29.673708407119342,33.0,29.678328999251534,33.0
275.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.625590194313585,33.0,29.601427155564902,33.0,29.673708407119342,33.0,29.678328999251534,33.0
276.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.625784758490017,33.0,29.601427155564902,33.0,29.673906416385496,33.0,29.678328999251534,33.0
277.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.625784758490017,33.0,29.60145234121694,33.0,29.673906416385496,33.0,29.681548366170777,33.0
278.0,29.59725220141342,33.0,29.61194420507418,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627029597994262,33.0,29.60145234121694,33.0,29.673906416385496,33.0,29.681548366170777,33.0
279.0,29.59725220141342,33.0,29.61414788974583,33.0,29.540755127773295,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627029597994262,33.0,29.610706853007535,33.0,29.674331772858583,33.0,29.681548366170777,33.0
280.0,29.59725220141342,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627029597994262,33.0,29.610706853007535,33.0,29.677986396363227,33.0,29.681548366170777,33.0
281.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627176716204204,33.0,29.610706853007535,33.0,29.680250439160552,33.0,29.681548366170777,33.0
282.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627176716204204,33.0,29.610706853007535,33.0,29.680250439160552,33.0,29.681548366170777,33.0
283.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627176716204204,33.0,29.610706853007535,33.0,29.680250439160552,33.0,29.681548366170777,33.0
284.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.669524273049834,33.0,29.627176716204204,33.0,29.614033583670302,33.0,29.680250439160552,33.0,29.681548366170777,33.0
285.0,29.597311068343434,33.0,29.61414788974583,33.0,29.540919671939886,33.0,29.589239562146382,33.0,29.570143198166207,33.0,29.672825403915013,33.0,29.629513480223622,33.0,29.6145666707765,33.0,29.682682273002822,33.0,29.690393165299266,33.0
